切尔西迎回伟大队长！兰帕德:这是特里的动情时刻,北京时间今夜明晨，英超第15轮切尔西在主场迎战阿斯顿维拉，斯坦福桥将迎回他们昔日的传奇队长约翰-特里，后者目前是维拉队的助理教练。谈到特里的回归，切尔西主帅兰帕德十分期待，两人曾在蓝军并肩拼搏，如今各自为战。兰帕德说：“对我来说没什么不同，去年我在德比郡和他交过两次手。这次的关注点是约翰，切尔西球迷们将会欢迎他，他是这里最伟大的队长，赢得过一切。每个人都知道他和切尔西的情感纽带，我确信球迷们肯定会展现出他们的爱戴，我还确信，这会是约翰一个很动情的时刻，他配得上这样的时刻。”兰帕德如今是蓝军主帅，特里则担任维拉的助教，两人的教练生涯起步不同。对此，神灯表示，这只是每个人选择的道路不一样。“每个人都有自己的道路，他和迪恩（维拉主帅）在一家非常好的俱乐部一起合作，这是他最后一年在那里踢球时获得的纽带，这是很正常的选择，我确信他会有很长久、很成功的教练生涯的，无论他是如何起步的。”“在没有主教练经验的情况下去执教德比郡（兰帕德自己），绝对是一个冒险，不过在足球圈里找工作，总会是冒险，因为这里的竞争如此激烈。约翰去维拉当助教，也是某种冒险，因为我们都想要成功，老板也想要成功。无论约翰选择的道路是什么，我们两人时刻都在冒险，这就是我们工作的性质。”（Kata）
前央视名嘴：C罗本该6个金球 某大佬买女人毁他,梅西获得个人第6座金球奖，在金球总数上超越了C罗（5座）。对此，前央视解说王涛在微博上称，C罗本该也有6个金球的，但被幕后黑手给毁了。王涛在微博上说：“基耶利尼说，去年C罗的金球奖被皇马偷了。我想说的是，梅西今年的金球奖是实至名归的，就像去年的C罗一样！本来C罗和梅西可以各自坐拥6座金球，继续这个梅罗时代，可惜，某大佬一手摧毁了这个时代的一半。国际足联和欧足联其实没啥责任，有人幕后设计，买了一堆女孩告C罗，我就想问，这些女孩呢？怎么C罗去年丢金球后集体消失了？按说C罗该入狱呀！期待梅西和C罗的时代再延续几年，别管金球不金球的。”尤文图斯后卫基耶利尼的观点是，C罗去年的金球被人抢了。基耶利尼说：“去年C罗的确被抢走了，当皇马决定让他无法获奖，这真的很奇怪。恕我直言，即使莫德里奇处在职业生涯的最棒时刻，他也配不上金球奖。”“这是皇马的一则信号，因为他们想阻止C罗获奖。莫德里奇赢得了欧冠冠军，按照这个逻辑，范戴克今年也应该赢得金球奖，还有去年格列兹曼、博格巴或者姆巴佩，他们在世界杯发挥出色。相比之下，莫德里奇拿奖完全说不通。”（Kata）
巴萨官方夸赞魔笛为梅西颁奖：真正的绅士,今年的金球奖增加了一个新的细节，那就是由上一届金球奖得主将奖杯颁发给新一届得主。莫德里奇是2018年金球奖得主，西班牙《马卡报》表示，他将奖杯送到梅西手上制造了一张珍贵的照片，那就是皇马和巴萨这两大死敌的球员，这一刻放弃了敌对性，因为足球而和谐地联系在一起。在颁奖典礼之后，莫德里奇在社交网站上放上了自己给梅西颁奖的画面，并写了一段话，表示了对梅西的尊重，“体育和足球不仅仅关系到胜利，还事关对队友和对手的尊重。”而对于C罗缺席金球奖颁奖典礼的事情，莫德里奇表示：“你们给我的第一个问题就带来争议。我来说说自己的情况，我对能来这里感到满意。足球是相互尊重，哪怕不能得奖，为了尊重也必须来这里，因为这是在庆祝足球本身。正因为如此我来到了这里，为了庆祝足球，为了表示尊重，足球就是这样，非常简单。”对于莫德里奇表现出的对梅西的尊重，巴萨俱乐部也心存感激，巴萨官方转发了莫德里奇的那段话，并写道：“真正的绅士。”巴萨同时还艾特了莫德里奇，同时将这个话题列入“公平竞赛”的主题中。（塞尔吉奥）
穆帅：为什么一个人住酒店？我生活自理能力一般,当有记者提问称，穆里尼奥执教曼联时长期住酒店，是一种奇怪的生活方式时，穆帅回答说，那是因为我生活自理能力比较一般。穆里尼奥在曼联执教两年多，他没有找一栋房子搬进去，而是一直住在曼彻斯特的洛瑞酒店，前后共计895天。穆帅所住高级套间，每晚的房费是816英镑，除了居住品质上乘，提供的各种服务也很适合穆帅。“住酒店很奇怪吗？你知道吗，如果我住在自己的房子里，我会生活不愉快的。”穆帅说，“我不得不自己打扫，而我不想这样做，我不得不熨衣服，可我不知道怎么熨。我必须自己做饭，煎蛋沙拉是我唯一会做的。我的生活会很不开心。”“我住在一套超棒的套间里，不是一个房间，而一整套都是我的。我并不是住一周就走，不，就像是我的房子一样。我的一切都在那儿，电视、书籍、电脑。这是个套间，可以打电话，‘一会请给我一杯咖啡’，或者‘我不想下楼吃饭，把我的饭送上来’。”“我在看足球比赛，或者和我助手工作，我会要求‘给我们来点吃的’。我什么都有，如果我一个人住在一套房子里，那会不方便的多。我住酒店很好，非常好。”（Kata）
梅西想退役？他还早着呢！一堆纪录等着他来破,梅西在金球奖颁奖典礼上的一番话引发了热议，那就是表示自己已经接近退役。“上帝希望我还有几年可以继续享受足球的时光。我清楚自己的年龄，我现在前所未有地享受足球，因为接近退役时刻了，这很难。我确实还能踢几年，但现在感觉时光在飞，一切都转瞬即逝。”在一些人看来，梅西这是放出了要退役的信号，部分球迷也为此担心起来。不过这只是梅西表达时光飞逝的一种感觉，他现在距离退役还很远。周三的西班牙《每日体育报》打出了“梅西来日方长”的大标题，表示这位阿根廷巨星没有这么快就考虑退役，他会继续在巴萨享受足球。梅西对《法国足球》表示：“我并没有感觉处在职业生涯末期。”数据显示，梅西仍然处在巅峰期，就在上周日对马竞的比赛中，梅西还发挥了决定性作用，打入了一个世界波。如今的梅西非常全面，他在场上组织、助攻、突破、进球，任意球水准也大大提升。他连续10个赛季进球超过40个，最佳射手、最佳助攻手，各种荣誉拿到手软。2019年，他已经打入了46球，看不出任何下降的趋势。和传奇们的退役年龄比，梅西也距离退役也还早。贝利在距离37岁生日还有22天时退役，克鲁伊夫和马拉多纳都是过37岁才退役，贝肯鲍尔38岁退役，迪斯蒂法诺到39岁才退役，匈牙利球星库巴拉更是一直踢到40岁。西班牙《世界体育报》的封面标题和《每日体育报》一样，也是梅西还会继续踢下去。该报表示，虽然梅西打破了各式各样的历史纪录，他依然对荣誉充满饥渴感，他还有可以完成的挑战。《世界体育报》列举了梅西的一些挑战，比如成为欧冠夺冠次数最多球员，他现在4个奖杯，亨托有6个；成为西甲夺冠次数最多球员，他现在10个奖杯，亨托12个；成为单个俱乐部进球最多球员，梅西在巴萨打入614球，贝利在桑托斯打入643球；成为冠军奖杯最多球员，梅西34个奖杯，阿尔维斯39个；成为巴萨上场次数最多球员，梅西上场701次，哈维767次；成为欧冠历史最佳射手，梅西打入114球，C罗127球；成为欧冠出场最多球员，梅西出场140场，卡西利亚斯181场。（伊万）
曼城前锋压力大啊！因为阿圭罗在 我上场必须进球,曼城前锋热苏斯终于爆发了，在4比1击败伯恩利的英超联赛中，他打破进球荒，而且一进就是两球。对此，巴西人坦言，都是阿圭罗逼的。“当我出场时，我必须进球，因为塞尔吉奥（阿圭罗）每次都进球，”热苏斯说，“有时候就是这样，我知道自己的实力，我知道我有能力每场都进球，但这有难度。”“这是我的志向，我想打比赛，想每场都进球。”对巴西人来说，阿圭罗的存在，既是竞争，也是良师益友。“我有塞尔吉奥和我一起，我必须向他学习，因为他是俱乐部和足坛的一个传奇。”热苏斯还表示，曼城不会放弃争夺英超冠军的希望。“英超如此艰难，利物浦打出了一个出色的赛季，但这是挑战，我们必须为了能够参与的所有奖杯而战。”（Kata）
梅西已经火了足足10年 他到底还能火多久,西班牙《马卡报》在最新的评论中指出，梅西的才华似乎没有到期的日子。他在2009年拿到了自己的第一个金球奖奖杯，十年之后，他赢得了个人的第6个金球奖。十年过去了，梅西仍然在巅峰，这让我们不禁要问：他的黄金岁月还能持续多久？一些人认为他最好的时光已经过去了，但就在上周日，他在对阵马竞的比赛中表现出了超强的决定胜负的能力，那些质疑他的人也再次沉默了。十年来保持着这种超凡脱俗的能力已经是惊人的，但看上去他还可以再坚持几年。那么，其他一些巨星在差不多的年龄情况如何呢？马拉多纳在1986年赢得了世界杯，并在那不勒斯赢得了两个意甲冠军，成为一大偶像，但30岁的时候他的状态开始下降。克鲁伊夫走下坡路开始于27岁，那是他最后一次获得金球奖之后。之后他在巴萨的表现开始变得不稳定。贝利的黄金期长了一点，他在1958年（18岁时）赢得了第一个世界杯冠军，12年之后，他赢得了第三个世界杯，然后就开始走下坡路。但其他的运动项目却不一样。迈克尔·乔丹一直等到28岁才拿到他在NBA的第一个总冠军，他的最后一个总冠军是在35岁时拿到的。费德勒、纳达尔和德约科维奇仍在掌控网球。瑞士人现在38岁了，西班牙球星33岁了，塞尔维亚人也已32岁，他们仍然处于很高的水平。这三个网球运动员的旅程还没到终点，就像梅西一样，谁也不知道他何时抵达终点。（伊万）
梅西承认：C罗金球数追平我时 让我感到受伤,梅西承认，2017年看到C罗在金球总数上追平自己，确实感觉有点受伤。梅西荣膺2019年金球奖，金球总数达到6个，再次超越了C罗（5个）。阿根廷人承认，他还是喜欢独领风骚的感觉。“当我是唯一一个拥有5个金球的人时，那种感觉是很好的。当克里斯蒂亚诺追平我的时候，我必须承认，这有点让我受伤，”梅西说，“我不再是独自领跑了。但这也是可以理解的，毕竟之前以5个金球领跑的感觉很美妙。”“这次我会和家人一起享受金球荣誉，这样的时间并不会长，因为明天我们又要专注于别的事情了。我一直专注于未来，这给我很大的能量，去继续我的工作。”“我从未停止梦想，依然和小时候一样享受足球的快乐。”（Kata）
这个问题你怎么看：奥巴梅杨和凯恩打架谁会赢？,拳击名将安东尼-约书亚认为，如果阿森纳前锋奥巴梅杨和热刺前锋凯恩打起来，他认为后者会赢，这个回答让奥巴梅杨本人有点失望。约书亚在BBC一档节目的趣味问答中被要求回答，当一些足球明星打架时，他认为谁会赢。当奥巴梅杨VS凯恩的选项出现时，约书亚在犹豫了一会儿后说：“OK，这很难选，但我想我会选凯恩。”对于约书亚的回答，奥巴梅杨本人在社交网络上回复称：“我感到失望啊，大人物。”球迷们则在网上议论纷纷：“他只是在哄凯恩高兴，因为你去年拿了金靴”“他觉得凯恩能打过你？一定是他被鲁伊兹打的那一拳，让他脑子依然还不清醒”“凯恩踢球和打架都能赢过奥巴梅杨”“凯恩在拳击台上也会假摔的”（皮特洛赫里）
曼联天才攻击手恐无缘战热刺 英媒:索帅将变阵352,据天空体育报道，曼联的法国前锋马夏尔可能会缺席与托特纳姆热刺的英超大战，主帅索尔斯克亚为此可能会重新考虑排兵布阵。天空体育称，马夏尔目前正在受到肌肉伤情的困扰，在周日战平阿斯顿维拉的比赛中，他在最后阶段被换下。能否赶上周三与热刺的比赛，存在很大疑问。因为伤病，马夏尔这个赛季曾缺席过两个月之久，至今只为曼联出场过12次。10月份他在同利物浦的比赛中复出，而最近6场英超联赛他都获得了首发。天空体育还分析称，马夏尔如果缺阵，索尔斯克亚可能考虑变阵352，由拉什福德和丹尼尔-詹姆斯出任双前锋，图安泽贝与林德洛夫、马奎尔组成三中卫搭档。除了马夏尔，博格巴本场对热刺也无法出场，索尔斯克亚明确表示，法国人尚未完全做好出场准备。（皮特洛赫里）
如此超级爆射太吓人！曼城球星:差点把我打回老家,曼城客场4比1大胜伯恩利，球队新援罗德里打出一脚精彩的世界波。对这个球，曼城球星斯特林开玩笑称，幸亏他身手敏捷躲开了罗德里的爆射，不然可能会受重伤。罗德里的这脚凌空抽出了十足的劲道，重重的撞入球门上网。球运行途中，斯特林弯腰低头，躲开了皮球。赛后，斯特林在网络平台上开玩笑说，自己真是好险。“很走运，罗德里的射门没有打中我的脸，否则这一下直接就把我打回牙买加了。”（皮特洛赫里）
